GSQ,avg_error,std_dev
8,86.70022601862918,0.001550445177178794
16,73.49354260125693,0.006047395925363903
32,48.801708690493015,0.013696670164425856
64,15.892577261560271,0.02705267240091912
128,0.7259936816487297,0.07113106165470462
256,0.8070231673727374,0.07672183556444952
512,0.9257872993101923,0.08358312234228046
1024,1.0127001056344078,0.1770053093962988
