GSQ,mean_error,std_error
2,97.64813520865349,0.0010384508008893403
4,95.29925514082755,0.003439274744973427
8,90.60286097371775,0.013012509125757623
16,81.20105427610682,0.041787996246618345
32,62.42350104483039,0.10073034049927682
64,24.88196733484756,0.281082758405835
128,0.8012919026294901,0.35752491778156575
256,0.9642875532014596,0.42623112636647004
